="UC_{std}^{+}",="1.36*",="",="",="",="",=""
="",="(0.62)",="",="",="",="",=""
="PW_{std}^{+}",="",="0.61",="",="",="",=""
="",="",="(0.61)",="",="",="",=""
="CP_{std}",="",="",="-0.63",="",="",=""
="",="",="",="(0.58)",="",="",=""
="UC_{std}^{-}",="",="",="",="1.49*",="",=""
="",="",="",="",="(0.63)",="",=""
="PW_{std}^{-}",="",="",="",="",="2.30***",=""
="",="",="",="",="",="(0.58)",=""
="LA_{std}",="",="",="",="",="",="2.09***"
="",="",="",="",="",="",="(0.67)"
="FOSD violators",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Fixed effects",="Scenario",="Scenario",="Scenario",="Scenario",="Scenario",="Scenario"
="Clustered SEs",="Subject",="Subject",="Subject",="Subject",="Subject",="Subject"
="R2",="0.11",="0.11",="0.11",="0.11",="0.11",="0.11"
="N choices",="20760",="20760",="20760",="20760",="20760",="20760"
="N subjects",="1730",="1730",="1730",="1730",="1730",="1730"
