="\gamma_{std}^{+}",="1.70**",="",="",="",="",=""
="",="(0.68)",="",="",="",="",=""
="\beta_{std}^{+}",="",="1.92**",="",="",="",=""
="",="",="(0.69)",="",="",="",=""
="\hat{\kappa}_{std}",="",="",="-1.26",="",="",=""
="",="",="",="(0.78)",="",="",=""
="\gamma_{std}^{-}",="",="",="",="1.96**",="",=""
="",="",="",="",="(0.72)",="",=""
="\beta_{std}^{-}",="",="",="",="",="1.90**",=""
="",="",="",="",="",="(0.66)",=""
="\hat{\lambda}_{std}",="",="",="",="",="",="1.72*"
="",="",="",="",="",="",="(0.80)"
="FOSD violators",="No",="No",="No",="No",="No",="No"
="Fixed effects",="Scenario",="Scenario",="Scenario",="Scenario",="Scenario",="Scenario"
="Clustered SEs",="Subject",="Subject",="Subject",="Subject",="Subject",="Subject"
="R\textsuperscript{2}",="0.13",="0.13",="0.12",="0.13",="0.13",="0.13"
="N choices",="15312",="15312",="15312",="15312",="15312",="15312"
="N subjects",="1276",="1276",="1276",="1276",="1276",="1276"
